6,2,14
6,5,12
1,15,11
4,3,17
13,16,18
13,10,18
7,5,11
2,21,15
2,20,15
21,2,15
21,1,18
21,10,18
21,8,19
21,3,17
17,3,15
17,23,11
10,1,18
10,6,17
10,21,18
10,8,11
10,25,20
10,2,17
10,3,17
4,26,11
26,4,11
5,1,13
5,6,13
5,7,11
1,5,14
6,4,12
4,6,15
2,4,15
17,28,11
17,13,12
13,17,12
13,29,12
29,13,12
17,20,12
4,31,11
31,4,12
32,6,11
13,1,18
7,34,11
34,7,11
32,1,11
1,32,11
1,34,11
34,1,11
34,13,11
13,34,11
6,7,15
7,6,13
1,17,19
1,31,12
31,1,13
35,6,12
1,13,13
36,37,11
37,36,11
35,1,11
17,1,19
8,1,13
7,29,12
1,20,12
37,44,11
44,37,11
39,45,11
39,7,13
39,44,11
44,39,11
23,17,11
23,19,11
36,46,11
46,36,11
47,1,12
13,7,11
7,13,11
29,51,11
51,29,11
29,52,11
52,29,11
45,39,12
45,53,12
53,45,12
45,54,12
54,45,12
1,54,11
54,1,11
7,3,16
36,41,12
41,36,12
36,21,12
21,36,12
7,36,13
36,7,14
7,53,14
53,7,14
7,55,11
55,7,11
29,7,12
4,57,15
39,21,12
21,39,12
4,61,12
61,4,13
61,20,18
61,2,12
35,65,11
65,35,12
56,1,12
1,56,12
4,66,12
66,4,12
21,7,15
7,20,14
35,69,11
35,70,11
39,69,12
69,39,12
69,35,12
1,71,11
71,1,18
7,28,12
28,7,11
4,72,14
1,74,11
74,1,11
41,75,11
68,64,11
76,7,11
7,76,11
7,19,15
32,23,11
23,32,11
23,20,11
61,77,14
1,78,11
78,1,11
60,41,11
41,60,11
78,60,11
60,78,11
57,4,12
23,69,11
69,23,11
64,68,11
35,79,11
79,35,11
41,4,11
4,41,11
1,68,12
68,1,12
69,28,13
28,69,13
64,80,11
17,81,11
81,17,11
69,62,11
62,69,11
41,83,11
41,104,11
83,41,11
41,86,11
86,41,11
104,41,11
4,87,11
87,4,11
81,69,12
69,81,12
41,89,11
89,41,11
60,87,11
87,60,11
7,89,12
89,7,12
64,94,11
41,70,11
94,64,11
70,95,11
95,70,13
70,41,11
70,35,11
39,17,13
17,39,11
70,96,11
96,70,13
15,97,12
97,15,12
69,99,14
99,69,11
88,7,13
1,81,11
70,15,11
15,70,11
81,1,11
1,101,11
62,54,12
54,62,12
101,1,11
100,101,11
101,103,11
80,25,12
100,60,12
39,4,11
4,39,11
41,105,11
72,4,14
96,106,11
106,96,11
81,107,12
107,81,13
60,108,11
108,60,11
97,68,11
68,97,11
96,107,12
7,109,11
109,7,11
41,110,11
41,68,11
68,41,11
107,96,12
23,7,15
7,111,11
111,7,11
64,112,12
112,64,12
112,77,11
112,115,12
112,60,14
60,112,14
109,39,11
39,109,11
6,114,12
114,39,11
6,32,11
39,114,11
47,7,11
1,119,11
119,1,20
100,1,13
100,7,14
7,100,12
7,47,11
7,122,11
122,7,11
23,108,11
108,23,11
108,104,11
104,108,11
60,56,12
115,77,13
119,127,20
119,25,11
1,2,18
1,76,12
76,1,12
1,23,16
54,129,11
116,7,12
7,116,12
54,13,12
13,54,12
77,39,13
77,15,11
77,6,13
77,1,13
77,23,11
77,28,13
77,115,13
77,112,11
77,131,11
77,61,13
129,54,11
54,2,12
2,54,12
127,119,20
127,132,11
132,127,12
7,133,11
133,7,11
105,41,11
41,64,11
64,41,11
57,110,11
113,125,12
125,113,12
54,7,16
7,54,15
113,23,12
113,135,12
135,113,12
78,36,12
36,78,12
2,132,12
132,2,12
96,15,14
110,57,11
110,41,11
132,28,11
28,132,11
111,1,11
132,134,11
134,132,11
132,100,11
100,132,11
41,137,11
15,96,13
137,41,11
7,137,11
137,7,11
1,138,11
138,1,11
132,138,11
138,132,11
100,111,11
111,100,11
100,64,11
64,100,11
41,140,11
140,41,11
7,60,15
60,100,12
7,141,12
141,134,15
134,141,15
141,7,13
132,21,15
139,132,11
132,139,11
78,132,13
2,3,18
132,142,11
142,132,11
110,142,11
1,110,11
110,1,11
142,110,11
110,76,12
2,142,11
142,2,11
110,143,11
143,110,11
75,132,11
110,134,11
134,110,11
132,144,11
144,132,11
1,145,11
145,1,11
146,2,11
60,147,11
41,148,11
148,41,11
23,113,14
21,132,12
93,81,12
78,149,11
149,150,11
150,149,11
132,75,11
2,110,11
110,2,11
110,144,11
144,110,11
41,147,11
147,41,11
132,152,11
104,153,12
81,93,13
152,154,11
154,152,12
152,75,11
110,155,11
132,156,14
156,132,14
132,113,13
113,132,13
155,110,11
41,157,11
157,41,11
149,132,11
132,149,11
113,158,11
158,113,12
56,7,13
7,56,13
41,132,11
153,104,12
132,41,11
114,1,12
1,114,12
1,111,12
60,160,11
160,60,11
114,149,11
149,114,11
114,146,11
78,146,11
146,78,11
122,78,11
132,78,13
146,114,11
114,21,11
7,161,13
161,7,13
21,114,11
132,104,11
104,132,11
132,157,12
157,132,12
1,7,19
7,1,17
132,162,11
162,132,11
41,163,11
163,41,11
41,162,11
162,41,11
2,149,11
149,2,11
75,41,12
143,81,11
143,80,11
80,143,11
1,165,11
165,1,11
152,166,11
166,152,11
2,166,11
166,2,11
110,104,11
41,167,11
167,41,11
41,168,11
168,41,11
132,169,12
169,132,12
81,149,11
142,170,11
170,142,11
45,171,12
171,45,12
64,166,11
166,64,11
113,166,11
166,113,11
60,104,12
60,172,11
64,3,11
113,173,12
173,113,11
41,174,11
172,60,11
166,156,12
156,166,12
175,7,12
45,176,13
161,144,11
144,161,11
7,166,11
161,177,11
177,161,11
149,129,11
129,149,11
144,178,11
178,144,11
75,1,12
75,179,11
179,75,11
75,62,12
62,75,12
143,173,11
149,173,11
173,149,11
173,143,11
166,180,11
180,166,11
174,41,11
149,81,13
144,143,11
143,144,11
60,148,12
148,60,12
2,156,11
156,2,11
1,19,16
132,181,11
181,132,11
135,181,11
181,135,11
132,159,11
159,132,11
135,143,11
143,135,11
148,182,11
182,148,11
144,181,11
181,144,11
181,183,12
183,181,12
143,183,11
183,143,11
142,64,11
64,142,11
184,7,12
7,184,12
80,7,11
7,78,11
78,7,11
147,179,11
179,147,11
7,185,11
185,7,11
176,45,11
183,186,11
186,183,11
135,187,11
187,135,11
33,7,12
7,33,12
78,144,13
7,188,11
188,7,11
104,189,12
189,104,12
104,190,11
190,104,11
104,110,12
104,191,11
191,104,11
104,113,11
113,104,11
6,173,13
110,7,11
104,171,11
171,104,11
143,192,11
192,143,11
60,159,12
159,60,12
2,1,18
57,25,12
60,178,12
7,35,12
60,193,11
193,60,11
60,194,11
194,178,11
194,60,11
178,194,11
7,195,11
195,7,11
29,60,12
62,196,11
196,62,11
60,29,12
60,191,14
7,156,11
156,7,11
60,198,11
60,199,11
199,60,11
7,200,12
200,7,12
132,198,12
198,132,11
35,7,12
194,201,11
201,194,11
100,202,11
202,100,11
142,203,11
203,142,11
7,204,11
142,60,11
7,110,13
60,205,11
206,201,11
201,206,11
207,7,12
200,62,11
60,75,13
75,60,13
75,7,13
60,209,13
7,210,11
210,7,11
142,143,12
143,142,12
60,142,11
7,206,12
149,209,11
120,7,15
7,207,13
7,96,11
104,179,9
200,179,9
149,179,9
96,7,12
56,60,12
202,211,11
200,13,11
13,200,11
211,202,11
104,149,11
149,104,11
104,60,13
149,62,11
167,211,11
206,7,12
202,212,11
212,202,11
212,209,11
60,212,14
212,60,14
101,134,11
60,213,12
213,60,12
134,101,11
212,7,11
212,132,11
212,29,11
143,153,11
153,143,12
35,110,12
135,214,11
143,215,11
215,143,11
29,212,11
7,212,11
135,152,11
7,179,9
39,149,14
149,39,14
214,216,11
216,214,11
174,112,11
153,202,11
29,120,12
60,217,12
60,218,11
218,60,11
209,212,11
217,60,12
217,3,15
